budget,original_language,popularity,runtime,status,vote_average,vote_count,release_year,profit_level,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,total_directed
140000000.0,en,56.257249,127.0,Released,5.3,1277,2016,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.0
135000000.0,en,17.88953,121.0,Released,4.9,331,2005,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0
130000000.0,en,64.798873,163.0,Released,7.0,2811,2009,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,7.0
140000000.0,en,24.855701,127.0,Released,6.3,767,1998,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11.0
137000000.0,en,34.981698,138.0,Released,5.3,1533,2003,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,8.0
130000000.0,en,59.325589,110.0,Released,5.4,3025,2013,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,5.0
130000000.0,en,21.605568,124.0,Released,5.7,434,2005,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3.0
137000000.0,en,26.074908,106.0,Released,5.9,433,2001,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1.0
140000000.0,en,74.506246,124.0,Released,6.6,7047,2011,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.0
135000000.0,en,39.604363,128.0,Released,6.0,862,1999,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.0
150000000.0,en,36.973031,138.0,Released,6.9,790,2003,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0
120000000.0,en,99.687084,115.0,Released,6.1,2553,2012,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,5.0
130000000.0,en,17.7735,100.0,Released,5.8,373,2011,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.0
